Name,State
Demsa,Adamawa 
Dikwa,Borno 
Doguwa,Kano 
Doma,Nasarawa 
Donga,Taraba 
Dukku,Gombe 
Dunukofia,Anambra 
Dutse,Jigawa 
Dutsi,Katsina 
Dutsin Ma,Katsina 
Eastern Obolo,Akwa Ibom 
Ebonyi,Ebonyi 
Edati,Niger 
Ede North,Osun 
Ede South,Osun 
Edu,Kwara 
Ife Central,Osun 
Ife East,Osun 
Ife North,Osun 
Ife South,Osun 
Efon,Ekiti 
Egbado North,Ogun 
Egbado South,Ogun 
Egbeda,Oyo 
Egbedore,Osun 
Egor,Edo 
Ehime Mbano,Imo 
Ejigbo,Osun 
Ekeremor,Bayelsa 
Eket,Akwa Ibom 
Ekiti,Kwara 
Ekiti East,Ekiti 
Ekiti South-West,Ekiti 
Ekiti West,Ekiti 
Ekwusigo,Anambra 
Eleme,Rivers 
Emuoha,Rivers 
Emure,Ekiti 
Enugu East,Enugu 
Enugu North,Enugu 
Enugu South,Enugu 
Epe,Lagos 
Esan Central,Edo 
Esan North-East,Edo 
Esan South-East,Edo 
Esan West,Edo 
Ese Odo,Ondo 
Esit Eket,Akwa Ibom 
Essien Udim,Akwa Ibom 
Etche,Rivers 
Ethiope East,Delta 
Ethiope West,Delta 
Etim Ekpo,Akwa Ibom 
Etinan,Akwa Ibom 
Eti Osa,Lagos 
Etsako Central,Edo 
Etsako East,Edo 
Etsako West,Edo 
Etung,Cross River 
Ewekoro,Ogun 
Ezeagu,Enugu 
Ezinihitte,Imo 
Ezza North,Ebonyi 
Ezza South,Ebonyi 
Fagge,Kano 
Fakai,Kebbi 
Faskari,Katsina 
Fika,Yobe 
Fufure,Adamawa 
Funakaye,Gombe 
Fune,Yobe 
Funtua,Katsina 
Gabasawa,Kano 
Gada,Sokoto 
Gagarawa,Jigawa 
Gamawa,Bauchi 
Ganjuwa,Bauchi 
Ganye,Adamawa 
Garki,Jigawa 
Garko,Kano 
Garun Mallam,Kano 
Gashaka,Taraba 
Gassol,Taraba 
Gaya,Kano 
Gayuk,Adamawa 
Gezawa,Kano 
Gbako,Niger 
Gboko,Benue 
Gbonyin,Ekiti 
Geidam,Yobe 
Giade,Bauchi 
Giwa,Kaduna 
Gokana,Rivers 
Gombe,Gombe 
Gombi,Adamawa 
Goronyo,Sokoto 
Grie,Adamawa 
Gubio,Borno 
Gudu,Sokoto 
Gujba,Yobe 
Gulani,Yobe 
Guma,Benue 
Gumel,Jigawa 
Gummi,Zamfara 
Gurara,Niger 
Guri,Jigawa 
Gusau,Zamfara 
Guzamala,Borno 
Gwadabawa,Sokoto 
Gwagwalada,FCT
Gwale,Kano 
Gwandu,Kebbi 
Gwaram,Jigawa 
Gwarzo,Kano 
Gwer East,Benue 
Gwer West,Benue 
Gwiwa,Jigawa 
Gwoza,Borno 
Hadejia,Jigawa 
Hawul,Borno 
Hong,Adamawa 
Ibadan North,Oyo 
Ibadan North-East,Oyo 
Ibadan North-West,Oyo 
Ibadan South-East,Oyo 
Ibadan South-West,Oyo 
Ibaji,Kogi 
Ibarapa Central,Oyo 
Ibarapa East,Oyo 
Ibarapa North,Oyo 
Ibeju-Lekki,Lagos 
Ibeno,Akwa Ibom 
Ibesikpo Asutan,Akwa Ibom 
Ibi,Taraba 
Ibiono-Ibom,Akwa Ibom 
Idah,Kogi 
Idanre,Ondo 
Ideato North,Imo 
Ideato South,Imo 
Idemili North,Anambra 
Idemili South,Anambra 
Ido,Oyo 
Ido Osi,Ekiti 
Ifako-Ijaiye,Lagos 
Ifedayo,Osun 
Ifedore,Ondo 
Ifelodun,Kwara 
Ifelodun,Osun 
Ifo,Ogun 
Igabi,Kaduna 
Igalamela Odolu,Kogi 
Igbo Etiti,Enugu 
Igbo Eze North,Enugu 
Igbo Eze South,Enugu 
Igueben,Edo 
Ihiala,Anambra 
Ihitte/Uboma,Imo 
Ilaje,Ondo 
Ijebu East,Ogun 
Ijebu North,Ogun 
Ijebu North East,Ogun 
Ijebu Ode,Ogun 
Ijero,Ekiti 
Ijumu,Kogi 
Ika,Akwa Ibom 
Ika North East,Delta 
Ikara,Kaduna 
Ika South,Delta 
Ikeduru,Imo 
Ikeja,Lagos 
Ikenne,Ogun 
Ikere,Ekiti 
Ikole,Ekiti 
Ikom,Cross River 
Ikono,Akwa Ibom 
Ikorodu,Lagos 
Ikot Abasi,Akwa Ibom 
Ikot Ekpene,Akwa Ibom 
Ikpoba Okha,Edo 
Ikwerre,Rivers 
Ikwo,Ebonyi 
Ikwuano,Abia 
Ila,Osun 
Ilejemeje,Ekiti 
Ile Oluji/Okeigbo,Ondo 
Ilesa East,Osun 
Ilesa West,Osun 
Illela,Sokoto 
Ilorin East,Kwara 
Ilorin South,Kwara 
Ilorin West,Kwara 
Imeko Afon,Ogun 
Ingawa,Katsina 
Ini,Akwa Ibom 
Ipokia,Ogun 
Irele,Ondo 
Irepo,Oyo 
Irepodun,Kwara 
Irepodun,Osun 
Irepodun/Ifelodun,Ekiti 
Irewole,Osun 
Isa,Sokoto 
Ise/Orun,Ekiti 
Iseyin,Oyo 
Ishielu,Ebonyi 
Isiala Mbano,Imo 
Isiala Ngwa North,Abia 
Isiala Ngwa South,Abia 
Isin,Kwara 
Isi Uzo,Enugu 
Isokan,Osun 
Isoko North,Delta 
Isoko South,Delta 
Isu,Imo 
Isuikwuato,Abia 
Itas/Gadau,Bauchi 
Itesiwaju,Oyo 
Itu,Akwa Ibom 
Ivo,Ebonyi 
Iwajowa,Oyo 
Iwo,Osun 
Izzi,Ebonyi 
Jaba,Kaduna 
Jada,Adamawa 
Jahun,Jigawa 
Jakusko,Yobe 
Jalingo,Taraba 
Jama'are,Bauchi 
Jega,Kebbi 
Jema'a,Kaduna 
Jere,Borno 
Jibia,Katsina 
Jos East,Plateau 
Jos North,Plateau 
Jos South,Plateau 
Kabba/Bunu,Kogi 
Kabo,Kano 
Kachia,Kaduna 
Kaduna North,Kaduna 
Kaduna South,Kaduna 
Kafin Hausa,Jigawa 
Kafur,Katsina 
Kaga,Borno 
Kagarko,Kaduna 
Kaiama,Kwara 
Kaita,Katsina 
Kajola,Oyo 
Kajuru,Kaduna 
Kala/Balge,Borno 
Kalgo,Kebbi 
Kaltungo,Gombe 
Kanam,Plateau 
Kankara,Katsina 
Kanke,Plateau 
Kankia,Katsina 
Kano Municipal,Kano 
Karasuwa,Yobe 
Karaye,Kano 
Karim Lamido,Taraba 
Karu,Nasarawa 
Katagum,Bauchi 
Katcha,Niger 
Katsina,Katsina 
Katsina-Ala,Benue 
Kaura,Kaduna 
Kaura Namoda,Zamfara 
Kauru,Kaduna 
Kazaure,Jigawa 
Keana,Nasarawa 
Kebbe,Sokoto 
Keffi,Nasarawa 
Khana,Rivers 
Kibiya,Kano 
Kirfi,Bauchi 
Kiri Kasama,Jigawa 
Kiru,Kano 
Kiyawa,Jigawa 
Kogi,Kogi 
Koko/Besse,Kebbi 
Kokona,Nasarawa 
Kolokuma/Opokuma,Bayelsa 
Konduga,Borno 
Konshisha,Benue 
Kontagora,Niger 
Kosofe,Lagos 
Kaugama,Jigawa 
Kubau,Kaduna 
Kudan,Kaduna 
Kuje,FCT
Kukawa,Borno 
Kumbotso,Kano 
Kumi,Taraba 
Kunchi,Kano 
Kura,Kano 
Kurfi,Katsina 
Kusada,Katsina 
Kwali,FCT
Kwande,Benue 
Kwami,Gombe 
Kware,Sokoto 
Kwaya Kusar,Borno 
Lafia,Nasarawa 
Lagelu,Oyo 
Lagos Island,Lagos 
Lagos Mainland,Lagos 
Langtang South,Plateau 
Langtang North,Plateau 
Lapai,Niger 
Lamurde,Adamawa 
Lau,Taraba 
Lavun,Niger 
Lere,Kaduna 
Logo,Benue 
Lokoja,Kogi 
Machina,Yobe 
Madagali,Adamawa 
Madobi,Kano 
Mafa,Borno 
Magama,Niger 
Magumeri,Borno 
Mai'Adua,Katsina 
Maiduguri,Borno 
Maigatari,Jigawa 
Maiha,Adamawa 
Maiyama,Kebbi 
Makarfi,Kaduna 
Makoda,Kano 
Malam Madori,Jigawa 
Malumfashi,Katsina 
Mangu,Plateau 
Mani,Katsina 
Maradun,Zamfara 
Mariga,Niger 
Makurdi,Benue 
Marte,Borno 
Maru,Zamfara 
Mashegu,Niger 
Mashi,Katsina 
Matazu,Katsina 
Mayo Belwa,Adamawa 
Mbaitoli,Imo 
Mbo,Akwa Ibom 
Michika,Adamawa 
Miga,Jigawa 
Mikang,Plateau 
Minjibir,Kano 
Misau,Bauchi 
Moba,Ekiti 
Mobbar,Borno 
Mubi North,Adamawa 
Mubi South,Adamawa 
Mokwa,Niger 
Monguno,Borno 
Mopa Muro,Kogi 
Moro,Kwara 
Moya,Niger 
Mkpat-Enin,Akwa Ibom 
Municipal Area Council,FCT
Musawa,Katsina 
Mushin,Lagos 
Nafada,Gombe 
Nangere,Yobe 
Nasarawa,Kano 
Nasarawa,Nasarawa 
Nasarawa Egon,Nasarawa 
Ndokwa East,Delta 
Ndokwa West,Delta 
Nembe,Bayelsa 
Ngala,Borno 
Nganzai,Borno 
Ngaski,Kebbi 
Ngor Okpala,Imo 
Nguru,Yobe 
Ningi,Bauchi 
Njaba,Imo 
Njikoka,Anambra 
Nkanu East,Enugu 
Nkanu West,Enugu 
Nkwerre,Imo 
Nnewi North,Anambra 
Nnewi South,Anambra 
Nsit-Atai,Akwa Ibom 
Nsit-Ibom,Akwa Ibom 
Nsit-Ubium,Akwa Ibom 
Nsukka,Enugu 
Numan,Adamawa 
Nwangele,Imo 
Obafemi Owode,Ogun 
Obanliku,Cross River 
Obi,Benue 
Obi,Nasarawa 
Obi Ngwa,Abia 
Obio/Akpor,Rivers 
Obokun,Osun 
Obot Akara,Akwa Ibom 
Obowo,Imo 
Obubra,Cross River 
Obudu,Cross River 
Odeda,Ogun 
Odigbo,Ondo 
Odogbolu,Ogun 
Odo Otin,Osun 
Odukpani,Cross River 
Offa,Kwara 
Ofu,Kogi 
Ogba/Egbema/Ndoni,Rivers 
Ogbadibo,Benue 
Ogbaru,Anambra 
Ogbia,Bayelsa 
Ogbomosho North,Oyo 
Ogbomosho South,Oyo 
Ogu/Bolo,Rivers 
Ogoja,Cross River 
Ogo Oluwa,Oyo 
Ogori/Magongo,Kogi 
Ogun Waterside,Ogun 
Oguta,Imo 
Ohafia,Abia 
Ohaji/Egbema,Imo 
Ohaozara,Ebonyi 
Ohaukwu,Ebonyi 
Ohimini,Benue 
Orhionmwon,Edo 
Oji River,Enugu 
Ojo,Lagos 
Oju,Benue 
Okehi,Kogi 
Okene,Kogi 
Oke Ero,Kwara 
Okigwe,Imo 
Okitipupa,Ondo 
Okobo,Akwa Ibom 
Okpe,Delta 
Okrika,Rivers 
Olamaboro,Kogi 
Ola Oluwa,Osun 
Olorunda,Osun 
Olorunsogo,Oyo 
Oluyole,Oyo 
Omala,Kogi 
Omuma,Rivers 
Ona Ara,Oyo 
Ondo East,Ondo 
Ondo West,Ondo 
Onicha,Ebonyi 
Onitsha North,Anambra 
Onitsha South,Anambra 
Onna,Akwa Ibom 
Okpokwu,Benue 
Opobo/Nkoro,Rivers 
Oredo,Edo 
Orelope,Oyo 
Oriade,Osun 
Ori Ire,Oyo 
Orlu,Imo 
Orolu,Osun 
Oron,Akwa Ibom 
Orsu,Imo 
Oru East,Imo 
Oruk Anam,Akwa Ibom 
Orumba North,Anambra 
Orumba South,Anambra 
Oru West,Imo 
Ose,Ondo 
Oshimili North,Delta 
Oshimili South,Delta 
Oshodi-Isolo,Lagos 
Osisioma,Abia 
Osogbo,Osun 
Oturkpo,Benue 
Ovia North-East,Edo 
Ovia South-West,Edo 
Owan East,Edo 
Owan West,Edo 
Owerri Municipal,Imo 
Owerri North,Imo 
Owerri West,Imo 
Owo,Ondo 
Oye,Ekiti 
Oyi,Anambra 
Oyigbo,Rivers 
Oyo,Oyo 
Oyo East,Oyo 
Oyun,Kwara 
Paikoro,Niger 
Pankshin,Plateau 
Patani,Delta 
Pategi,Kwara 
Port Harcourt,Rivers 
Potiskum,Yobe 
Qua'an Pan,Plateau 
Rabah,Sokoto 
Rafi,Niger 
Rano,Kano 
Remo North,Ogun 
Rijau,Niger 
Rimi,Katsina 
Rimin Gado,Kano 
Ringim,Jigawa 
Riyom,Plateau 
Rogo,Kano 
Roni,Jigawa 
Sabon Birni,Sokoto 
Sabon Gari,Kaduna 
Sabuwa,Katsina 
Safana,Katsina 
Sagbama,Bayelsa 
Sakaba,Kebbi 
Saki East,Oyo 
Saki West,Oyo 
Sandamu,Katsina 
Sanga,Kaduna 
Sapele,Delta 
Sardauna,Taraba 
Shagamu,Ogun 
Shagari,Sokoto 
Shanga,Kebbi 
Shani,Borno 
Shanono,Kano 
Shelleng,Adamawa 
Shendam,Plateau 
Shinkafi,Zamfara 
Shira,Bauchi 
Shiroro,Niger 
Shongom,Gombe 
Shomolu,Lagos 
Silame,Sokoto 
Soba,Kaduna 
Sokoto North,Sokoto 
Sokoto South,Sokoto 
Song,Adamawa 
Southern Ijaw,Bayelsa 
Suleja,Niger 
Sule Tankarkar,Jigawa 
Sumaila,Kano 
Suru,Kebbi 
Surulere,Oyo 
Surulere,Lagos 
Tafa,Niger 
Tafawa Balewa,Bauchi 
Tai,Rivers 
Takai,Kano 
Takum,Taraba 
Talata Mafara,Zamfara 
Tambuwal,Sokoto 
Tangaza,Sokoto 
Tarauni,Kano 
Tarka,Benue 
Tarmuwa,Yobe 
Taura,Jigawa 
Toungo,Adamawa 
Tofa,Kano 
Toro,Bauchi 
Toto,Nasarawa 
Chafe,Zamfara 
Tsanyawa,Kano 
Tudun Wada,Kano 
Tureta,Sokoto 
Udenu,Enugu 
Udi,Enugu 
Udu,Delta 
Udung-Uko,Akwa Ibom 
Ughelli North,Delta 
Ughelli South,Delta 
Ugwunagbo,Abia 
Uhunmwonde,Edo 
Ukanafun,Akwa Ibom 
Ukum,Benue 
Ukwa East,Abia 
Ukwa West,Abia 
Ukwuani,Delta 
Umuahia North,Abia 
Umuahia South,Abia 
Umu Nneochi,Abia 
Ungogo,Kano 
Unuimo,Imo 
Uruan,Akwa Ibom 
Urue-Offong/Oruko,Akwa Ibom 
Ushongo,Benue 
Ussa,Taraba 
Uvwie,Delta 
Uyo,Akwa Ibom 
Uzo Uwani,Enugu 
Vandeikya,Benue 
Wamako,Sokoto 
Wamba,Nasarawa 
Warawa,Kano 
Warji,Bauchi 
Warri North,Delta 
Warri South,Delta 
Warri South West,Delta 
Wasagu/Danko,Kebbi 
Wase,Plateau 
Wudil,Kano 
Wukari,Taraba 
Wurno,Sokoto 
Wushishi,Niger 
Yabo,Sokoto 
Yagba East,Kogi 
Yagba West,Kogi 
Yakuur,Cross River 
Yala,Cross River 
Yamaltu/Deba,Gombe 
Yankwashi,Jigawa 
Yauri,Kebbi 
Yenagoa,Bayelsa 
Yola North,Adamawa 
Yola South,Adamawa 
Yorro,Taraba 
Yunusari,Yobe 
Yusufari,Yobe 
Zaki,Bauchi 
Zango,Katsina 
Zangon Kataf,Kaduna 
Zaria,Kaduna 
Zing,Taraba 
Zurmi,Zamfara 
Zuru,Kebbi 
